date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:20:06	30458/30458	---M-Z	200	added ('OK')	text/html	etag:W/%2263a2b0ba-76fa%22	https://themewagon.github.io/theinterior/index.html	D:/Bootstrap/New%20Versions/themewagon.github.io/theinterior/index.html	(from )
23:20:06	5142/5142	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%22684a5977-239b%22	https://themewagon.github.io/robots.txt		(from )
23:20:06	9379/9379	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2264d39a40-24a3%22	https://themewagon.github.io/theinterior/site.webmanifest	D:/Bootstrap/New%20Versions/themewagon.github.io/theinterior/site.webmanifest	(from https://themewagon.github.io/theinterior/index.html)
23:20:07	1150/1150	---M-Z	200	added ('OK')	image/vnd.microsoft.icon	etag:W/%2263a2b0ba-47e%22	https://themewagon.github.io/theinterior/assets/img/favicon.ico	D:/Bootstrap/New%20Versions/themewagon.github.io/theinterior/assets/img/favicon.ico	(from https://themewagon.github.io/theinterior/index.html)
23:20:07	140936/140936	---M-Z	200	added ('OK')	text/css	etag:W/%2263a2b0ba-22688%22	https://themewagon.github.io/theinterior/assets/css/bootstrap.min.css	D:/Bootstrap/New%20Versions/themewagon.github.io/theinterior/assets/css/bootstrap.min.css	(from https://themewagon.github.io/theinterior/index.html)
23:20:07	2936/2936	---M-Z	200	added ('OK')	text/css	etag:W/%2263a2b0ba-b78%22	https://themewagon.github.io/theinterior/assets/css/owl.carousel.min.css	D:/Bootstrap/New%20Versions/themewagon.github.io/theinterior/assets/css/owl.carousel.min.css	(from https://themewagon.github.io/theinterior/index.html)
23:20:08	5732/5732	---M-Z	200	added ('OK')	text/css	etag:W/%2263a2b0ba-1664%22	https://themewagon.github.io/theinterior/assets/css/slicknav.css	D:/Bootstrap/New%20Versions/themewagon.github.io/theinterior/assets/css/slicknav.css	(from https://themewagon.github.io/theinterior/index.html)
23:20:08	1107/1107	---M-Z	200	added ('OK')	text/css	etag:W/%2263a2b0ba-453%22	https://themewagon.github.io/theinterior/assets/css/flaticon.css	D:/Bootstrap/New%20Versions/themewagon.github.io/theinterior/assets/css/flaticon.css	(from https://themewagon.github.io/theinterior/index.html)
23:20:08	56048/56048	---M-Z	200	added ('OK')	text/css	etag:W/%2263a2b0ba-daf0%22	https://themewagon.github.io/theinterior/assets/css/animate.min.css	D:/Bootstrap/New%20Versions/themewagon.github.io/theinterior/assets/css/animate.min.css	(from https://themewagon.github.io/theinterior/index.html)
23:20:08	6951/6951	---M-Z	200	added ('OK')	text/css	etag:W/%2263a2b0ba-1b27%22	https://themewagon.github.io/theinterior/assets/css/magnific-popup.css	D:/Bootstrap/New%20Versions/themewagon.github.io/theinterior/assets/css/magnific-popup.css	(from https://themewagon.github.io/theinterior/index.html)
